Team_ID,Games_Played,Wins,Losses,Win Percentage
Oakland Athletics,158,96,62,0.61
Los Angeles Dodgers,161,105,56,0.65
Philadelphia Phillies,161,81,80,0.50
New York Yankees,161,103,58,0.64
Seattle Mariners,159,65,94,0.41
Kansas City Royals,161,58,103,0.36
Texas Rangers,161,77,84,0.48
Minnesota Twins,161,101,60,0.63
Miami Marlins,160,56,104,0.35
Toronto Blue Jays,161,66,95,0.41
Tampa Bay Rays,161,96,65,0.60
Washington Nationals,160,91,69,0.57
Cincinnati Reds,161,74,87,0.46
San Diego Padres,161,70,91,0.43
Milwaukee Brewers,160,88,72,0.55
Cleveland Indians,160,92,68,0.58
Atlanta Braves,161,97,64,0.60
Pittsburgh Pirates,161,69,92,0.43
Detroit Tigers,160,47,113,0.29
Baltimore Orioles,161,54,107,0.34
Los Angeles Angels,159,72,87,0.45
New York Mets,161,85,76,0.53
Arizona Diamondbacks,161,84,77,0.52
Colorado Rockies,161,70,91,0.43
Houston Astros,161,106,55,0.66
St. Louis Cardinals,160,90,70,0.56
Chicago White Sox,160,71,89,0.44
San Francisco Giants,161,77,84,0.48
Chicago Cubs,161,84,77,0.52
Boston Red Sox,161,83,78,0.52
