home_team,away_team,home_final_score,away_final_score
Oakland Athletics,Los Angeles Angels,4,0
Los Angeles Dodgers,Arizona Diamondbacks,12,5
Philadelphia Phillies,Atlanta Braves,10,4
New York Yankees,Baltimore Orioles,7,2
Seattle Mariners,Boston Red Sox,12,4
Kansas City Royals,Chicago White Sox,5,3
Texas Rangers,Chicago Cubs,4,12
Minnesota Twins,Cleveland Indians,2,0
Miami Marlins,Colorado Rockies,3,6
Toronto Blue Jays,Detroit Tigers,0,2
Tampa Bay Rays,Houston Astros,1,5
Washington Nationals,New York Mets,0,2
Cincinnati Reds,Pittsburgh Pirates,5,3
San Diego Padres,San Francisco Giants,2,0
Milwaukee Brewers,St. Louis Cardinals,5,4
Oakland Athletics,Los Angeles Angels,2,6
Los Angeles Dodgers,Arizona Diamondbacks,4,5
Seattle Mariners,Boston Red Sox,6,7
Miami Marlins,Colorado Rockies,1,6
Toronto Blue Jays,Detroit Tigers,6,0
Tampa Bay Rays,Houston Astros,4,2
San Diego Padres,San Francisco Giants,4,1
Milwaukee Brewers,St. Louis Cardinals,5,9
Oakland Athletics,Los Angeles Angels,4,2
Los Angeles Dodgers,Arizona Diamondbacks,18,5
Philadelphia Phillies,Atlanta Braves,8,6
New York Yankees,Baltimore Orioles,3,5
Seattle Mariners,Boston Red Sox,6,5
Kansas City Royals,Chicago White Sox,8,6
Texas Rangers,Chicago Cubs,8,6
Minnesota Twins,Cleveland Indians,1,2
Miami Marlins,Colorado Rockies,7,3
Toronto Blue Jays,Detroit Tigers,3,0
Tampa Bay Rays,Houston Astros,3,1
Washington Nationals,New York Mets,8,11
San Diego Padres,San Francisco Giants,2,3
Milwaukee Brewers,St. Louis Cardinals,4,2
Oakland Athletics,Los Angeles Angels,2,1
Los Angeles Dodgers,Arizona Diamondbacks,8,7
Philadelphia Phillies,Atlanta Braves,5,1
New York Yankees,Baltimore Orioles,5,7
Seattle Mariners,Boston Red Sox,10,8
Kansas City Royals,Chicago White Sox,3,6
Texas Rangers,Chicago Cubs,11,10
Minnesota Twins,Cleveland Indians,9,3
Miami Marlins,Colorado Rockies,3,0
Toronto Blue Jays,Detroit Tigers,3,4
Tampa Bay Rays,Houston Astros,3,1
Washington Nationals,New York Mets,6,5
Cincinnati Reds,Pittsburgh Pirates,0,5
San Diego Padres,San Francisco Giants,3,1
Milwaukee Brewers,St. Louis Cardinals,5,4
Seattle Mariners,Los Angeles Angels,6,3
San Diego Padres,Arizona Diamondbacks,3,10
Toronto Blue Jays,Baltimore Orioles,5,6
Oakland Athletics,Boston Red Sox,7,0
Cleveland Indians,Chicago White Sox,5,3
Atlanta Braves,Chicago Cubs,8,0
Tampa Bay Rays,Colorado Rockies,7,1
New York Yankees,Detroit Tigers,3,1
Texas Rangers,Houston Astros,1,2
Cincinnati Reds,Milwaukee Brewers,3,4
Miami Marlins,New York Mets,3,7
Los Angeles Dodgers,San Francisco Giants,2,4
Pittsburgh Pirates,St. Louis Cardinals,5,6
Seattle Mariners,Los Angeles Angels,2,1
San Diego Padres,Arizona Diamondbacks,5,8
Toronto Blue Jays,Baltimore Orioles,1,2
Oakland Athletics,Boston Red Sox,1,0
Tampa Bay Rays,Colorado Rockies,4,0
New York Yankees,Detroit Tigers,1,3
Texas Rangers,Houston Astros,6,4
Cincinnati Reds,Milwaukee Brewers,3,4
Kansas City Royals,Minnesota Twins,4,5
Miami Marlins,New York Mets,5,6
Washington Nationals,Philadelphia Phillies,2,8
Los Angeles Dodgers,San Francisco Giants,6,5
San Diego Padres,Arizona Diamondbacks,4,1
Toronto Blue Jays,Baltimore Orioles,5,3
Oakland Athletics,Boston Red Sox,3,6
Cleveland Indians,Chicago White Sox,3,8
