team,name,salary,playerID
Arizona Diamondbacks,Eduardo Escobar,6166666,500871
Arizona Diamondbacks,Robbie Ray,6050000,592662
Arizona Diamondbacks,Taijuan Walker,5025000,592836
Arizona Diamondbacks,Jake Lamb,4825000,571875
Arizona Diamondbacks,Adam Jones,4500000,430945
Arizona Diamondbacks,Alex Avila,4250000,488671
Arizona Diamondbacks,Jarrod Dyson,4000000,502481
Arizona Diamondbacks,Wilmer Flores,3750000,527038
Arizona Diamondbacks,Nick Ahmed,3662500,605113
Arizona Diamondbacks,Yoshihisa Hirano,3500000,673633
Arizona Diamondbacks,Mike Leake,3000000,502190
Arizona Diamondbacks,Merrill Kelly,2000000,518876
Arizona Diamondbacks,Ketel Marte,2000000,606466
Arizona Diamondbacks,Andrew Chafin,1945000,605177
Arizona Diamondbacks,Archie Bradley,1830000,605151
Arizona Diamondbacks,McFarland,1400000,0
Arizona Diamondbacks,Matt Andriese,920000,542882
Arizona Diamondbacks,Luke Weaver,581300,596133
Arizona Diamondbacks,Carson Kelly,560000,608348
Arizona Diamondbacks,Christian Walker,559800,572233
Arizona Diamondbacks,Yoan Lopez,556900,661255
Arizona Diamondbacks,Caleb Joseph,473120,543376
Arizona Diamondbacks,Ildemaro Vargas,420744,545121
Arizona Diamondbacks,Tim Locastro,375984,641796
Arizona Diamondbacks,Taylor Clarke,355096,664199
Arizona Diamondbacks,Jon Duplantier,283480,641541
Arizona Diamondbacks,Eduardo Escobar,2759259,500871
Arizona Diamondbacks,Nick Ahmed,2597222,605113
Arizona Diamondbacks,David Peralta,2592593,444482
Arizona Diamondbacks,Madison Bumgarner,2222222,518516
Arizona Diamondbacks,Kole Calhoun,2222222,594777
Arizona Diamondbacks,Ketel Marte,1481481,606466
Arizona Diamondbacks,Junior Guerra,975926,448855
Arizona Diamondbacks,Hector Rondon,925926,444468
Arizona Diamondbacks,Stephen Vogt,925926,519390
Arizona Diamondbacks,Jon Jay,605556,445055
Arizona Diamondbacks,Luke Weaver,221111,596133
Arizona Diamondbacks,Christian Walker,218333,572233
Arizona Diamondbacks,Silvino Bracho,216333,611093
Arizona Diamondbacks,Carson Kelly,215444,608348
Arizona Diamondbacks,Stefan Crichton,213889,592233
Arizona Diamondbacks,Zac Gallen,212963,668678
Arizona Diamondbacks,Alex Young,212963,622065
Arizona Diamondbacks,Tim Locastro,212741,641796
Arizona Diamondbacks,Taylor Clarke,208704,664199
Arizona Diamondbacks,Taylor Widener,208704,642203
Arizona Diamondbacks,Daulton Varsho,183784,662139
Arizona Diamondbacks,Yoan Lopez,182172,661255
Arizona Diamondbacks,Riley Smith,109025,642092
Arizona Diamondbacks,Caleb Smith,90776,592761
Arizona Diamondbacks,Keury Mella,84105,622492
Arizona Diamondbacks,Wyatt Mathisen,68530,621500
Arizona Diamondbacks,Nick Ahmed,8125000,605113
Arizona Diamondbacks,Kole Calhoun,8000000,594777
Arizona Diamondbacks,Eduardo Escobar,7666668,500871
Arizona Diamondbacks,David Peralta,7500000,444482
Arizona Diamondbacks,Merrill Kelly,4250000,518876
Arizona Diamondbacks,Joakim Soria,3500000,465657
